Date,City,Country,Status,AQI_Value
11/9/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,131.0
11/10/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,116.0
11/11/2022,Jakarta,Indonesia,Moderate,88.0
11/12/2022,Jakarta,Indonesia,Moderate,69.0
11/13/2022,Jakarta,Indonesia,Moderate,70.0
11/14/2022,Jakarta,Indonesia,Moderate,89.0
11/15/2022,Jakarta,Indonesia,Moderate,88.0
11/16/2022,Jakarta,Indonesia,Moderate,82.0
11/17/2022,Jakarta,Indonesia,Moderate,76.0
11/18/2022,Jakarta,Indonesia,Moderate,85.0
11/19/2022,Jakarta,Indonesia,Moderate,70.0
11/20/2022,Jakarta,Indonesia,Moderate,84.0
11/21/2022,Jakarta,Indonesia,Moderate,64.0
11/22/2022,Jakarta,Indonesia,Moderate,70.0
11/23/2022,Jakarta,Indonesia,Moderate,70.0
11/24/2022,Jakarta,Indonesia,Moderate,79.0
11/25/2022,Jakarta,Indonesia,Moderate,75.0
11/26/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,107.0
11/27/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,117.0
11/28/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,130.0
11/29/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,118.0
11/30/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,108.0
12/1/2022,Jakarta,Indonesia,Moderate,94.0
12/2/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,102.0
12/3/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,104.0
12/4/2022,Jakarta,Indonesia,Moderate,97.0
12/5/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,121.0
12/6/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,129.0
12/7/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,116.0
12/8/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,132.0
12/9/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,111.0
12/10/2022,Jakarta,Indonesia,Moderate,56.0
12/11/2022,Jakarta,Indonesia,Moderate,80.0
12/12/2022,Jakarta,Indonesia,Moderate,64.0
12/13/2022,Jakarta,Indonesia,Good,42.0
12/14/2022,Jakarta,Indonesia,Good,40.0
12/15/2022,Jakarta,Indonesia,Good,41.0
12/16/2022,Jakarta,Indonesia,Moderate,58.0
12/17/2022,Jakarta,Indonesia,Moderate,79.0
12/18/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,122.0
12/19/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,126.0
12/20/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,128.0
12/21/2022,Jakarta,Indonesia,Moderate,96.0
12/22/2022,Jakarta,Indonesia,Moderate,93.0
12/23/2022,Jakarta,Indonesia,Moderate,56.0
12/24/2022,Jakarta,Indonesia,Moderate,53.0
12/25/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,103.0
12/26/2022,Jakarta,Indonesia,Moderate,59.0
12/27/2022,Jakarta,Indonesia,Moderate,79.0
12/28/2022,Jakarta,Indonesia,Good,47.0
12/29/2022,Jakarta,Indonesia,Moderate,57.0
12/30/2022,Jakarta,Indonesia,Moderate,54.0
12/31/2022,Jakarta,Indonesia,Moderate,75.0
1/1/2023,Jakarta,Indonesia,Moderate,75.0
1/2/2023,Jakarta,Indonesia,Moderate,57.0
1/3/2023,Jakarta,Indonesia,Moderate,55.0
1/4/2023,Jakarta,Indonesia,Good,40.0
1/5/2023,Jakarta,Indonesia,Moderate,70.0
1/6/2023,Jakarta,Indonesia,Moderate,67.0
1/7/2023,Jakarta,Indonesia,Good,42.0
1/8/2023,Jakarta,Indonesia,Good,43.0
1/9/2023,Jakarta,Indonesia,Good,50.0
1/10/2023,Jakarta,Indonesia,Moderate,56.0
1/11/2023,Jakarta,Indonesia,Moderate,52.0
1/12/2023,Jakarta,Indonesia,Moderate,92.0
1/13/2023,Jakarta,Indonesia,Moderate,89.0
1/14/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,119.0
1/15/2023,Jakarta,Indonesia,Moderate,95.0
1/16/2023,Jakarta,Indonesia,Moderate,57.0
1/17/2023,Jakarta,Indonesia,Moderate,58.0
1/18/2023,Jakarta,Indonesia,Moderate,63.0
1/19/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,115.0
1/20/2023,Jakarta,Indonesia,Moderate,76.0
1/21/2023,Jakarta,Indonesia,Moderate,65.0
1/22/2023,Jakarta,Indonesia,Moderate,67.0
1/23/2023,Jakarta,Indonesia,Moderate,56.0
1/24/2023,Jakarta,Indonesia,Moderate,51.0
1/25/2023,Jakarta,Indonesia,Moderate,52.0
1/26/2023,Jakarta,Indonesia,Moderate,61.0
1/27/2023,Jakarta,Indonesia,Moderate,66.0
1/28/2023,Jakarta,Indonesia,Moderate,63.0
1/29/2023,Jakarta,Indonesia,Moderate,71.0
1/30/2023,Jakarta,Indonesia,Moderate,74.0
1/31/2023,Jakarta,Indonesia,Moderate,75.0
2/1/2023,Jakarta,Indonesia,Moderate,95.0
2/2/2023,Jakarta,Indonesia,Moderate,68.0
2/3/2023,Jakarta,Indonesia,Moderate,64.0
2/4/2023,Jakarta,Indonesia,Moderate,69.0
2/5/2023,Jakarta,Indonesia,Moderate,94.0
2/6/2023,Jakarta,Indonesia,Moderate,67.0
2/7/2023,Jakarta,Indonesia,Moderate,72.0
2/8/2023,Jakarta,Indonesia,Moderate,56.0
2/9/2023,Jakarta,Indonesia,Moderate,66.0
2/10/2023,Jakarta,Indonesia,Moderate,51.0
2/11/2023,Jakarta,Indonesia,Good,47.0
2/12/2023,Jakarta,Indonesia,Good,44.0
2/13/2023,Jakarta,Indonesia,Good,41.0
2/14/2023,Jakarta,Indonesia,Moderate,54.0
2/15/2023,Jakarta,Indonesia,Good,39.0
2/16/2023,Jakarta,Indonesia,Good,45.0
2/17/2023,Jakarta,Indonesia,Moderate,56.0
2/18/2023,Jakarta,Indonesia,Moderate,64.0
2/19/2023,Jakarta,Indonesia,Moderate,94.0
2/20/2023,Jakarta,Indonesia,Moderate,93.0
2/21/2023,Jakarta,Indonesia,Moderate,51.0
2/22/2023,Jakarta,Indonesia,Good,49.0
2/23/2023,Jakarta,Indonesia,Good,44.0
2/24/2023,Jakarta,Indonesia,Good,45.0
2/25/2023,Jakarta,Indonesia,Good,47.0
2/26/2023,Jakarta,Indonesia,Good,49.0
2/27/2023,Jakarta,Indonesia,Good,51.0
2/28/2023,Jakarta,Indonesia,Moderate,53.0
3/1/2023,Jakarta,Indonesia,Moderate,55.0
3/2/2023,Jakarta,Indonesia,Moderate,68.0
3/3/2023,Jakarta,Indonesia,Moderate,61.0
3/4/2023,Jakarta,Indonesia,Moderate,59.0
3/5/2023,Jakarta,Indonesia,Good,48.0
3/6/2023,Jakarta,Indonesia,Moderate,64.0
3/7/2023,Jakarta,Indonesia,Good,46.0
3/8/2023,Jakarta,Indonesia,Moderate,53.0
3/9/2023,Jakarta,Indonesia,Moderate,66.0
3/10/2023,Jakarta,Indonesia,Good,28.0
3/11/2023,Jakarta,Indonesia,Moderate,85.0
3/12/2023,Jakarta,Indonesia,Moderate,91.0
3/13/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,108.0
3/14/2023,Jakarta,Indonesia,Moderate,92.0
3/15/2023,Jakarta,Indonesia,Moderate,64.0
3/16/2023,Jakarta,Indonesia,Moderate,68.0
3/17/2023,Jakarta,Indonesia,Moderate,97.0
3/18/2023,Jakarta,Indonesia,Moderate,70.0
3/19/2023,Jakarta,Indonesia,Moderate,75.0
3/20/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,101.0
3/21/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,123.0
3/22/2023,Jakarta,Indonesia,Moderate,89.0
3/23/2023,Jakarta,Indonesia,Moderate,68.0
3/24/2023,Jakarta,Indonesia,Good,41.0
3/25/2023,Jakarta,Indonesia,Moderate,77.0
3/26/2023,Jakarta,Indonesia,Moderate,89.0
3/27/2023,Jakarta,Indonesia,Moderate,71.0
3/28/2023,Jakarta,Indonesia,Moderate,66.0
3/29/2023,Jakarta,Indonesia,Moderate,95.0
3/30/2023,Jakarta,Indonesia,Moderate,91.0
3/31/2023,Jakarta,Indonesia,Moderate,78.0
4/1/2023,Jakarta,Indonesia,Moderate,53.0
4/2/2023,Jakarta,Indonesia,Good,29.0
4/3/2023,Jakarta,Indonesia,Moderate,67.0
4/4/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,109.0
4/5/2023,Jakarta,Indonesia,Moderate,78.0
4/6/2023,Jakarta,Indonesia,Moderate,89.0
4/7/2023,Jakarta,Indonesia,Moderate,65.0
4/8/2023,Jakarta,Indonesia,Moderate,91.0
4/9/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,115.0
4/10/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,102.0
4/11/2023,Jakarta,Indonesia,Good,36.0
4/12/2023,Jakarta,Indonesia,Good,33.0
4/13/2023,Jakarta,Indonesia,Good,34.0
4/14/2023,Jakarta,Indonesia,Good,42.0
4/15/2023,Jakarta,Indonesia,Moderate,76.0
4/16/2023,Jakarta,Indonesia,Moderate,95.0
4/17/2023,Jakarta,Indonesia,Moderate,66.0
4/18/2023,Jakarta,Indonesia,Moderate,52.0
4/19/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,105.0
4/20/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,101.0
4/21/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,101.0
4/22/2023,Jakarta,Indonesia,Moderate,92.0
4/23/2023,Jakarta,Indonesia,Moderate,96.0
4/24/2023,Jakarta,Indonesia,Moderate,90.0
4/25/2023,Jakarta,Indonesia,Moderate,84.0
4/26/2023,Jakarta,Indonesia,Moderate,56.0
4/27/2023,Jakarta,Indonesia,Moderate,78.0
4/28/2023,Jakarta,Indonesia,Moderate,86.0
4/29/2023,Jakarta,Indonesia,Moderate,58.0
4/30/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,119.0
5/1/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,106.0
5/2/2023,Jakarta,Indonesia,Moderate,97.0
5/3/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,126.0
5/4/2023,Jakarta,Indonesia,Moderate,88.0
5/5/2023,Jakarta,Indonesia,Moderate,64.0
5/6/2023,Jakarta,Indonesia,Moderate,96.0
